[ 2026-05-26 08:36:17,868 ] Using spritesheet cache size of 910
[ 2026-06-09 16:59:33,426 ] StartDownload:  QUrl("https://static.tibia.com/images/store/13/Category_Bundles.png")
[ 2026-06-09 16:59:33,426 ] StartDownload:  QUrl("https://static.tibia.com/images/store/13/Category_Cosmetics.png")
[ 2026-06-09 16:59:33,427 ] StartDownload:  QUrl("https://static.tibia.com/images/store/13/Category_HouseTools.png")
[ 2026-06-09 16:59:33,428 ] StartDownload:  QUrl("https://static.tibia.com/images/store/13/Category_Boosts.png")
[ 2026-06-09 16:59:33,485 ] QQuickPixmap: connectFinished() called when not loading.
[ 2026-06-09 16:59:33,485 ] QQuickPixmap: connectFinished() called when not loading.
[ 2026-06-09 16:59:33,638 ] StartDownload:  QUrl("https://static.tibia.com/images/store/13/Category_Extras.png")
[ 2026-06-09 16:59:33,642 ] StartDownload:  QUrl("https://static.tibia.com/images/store/64/Product_PremiumTime30.png")
[ 2026-06-09 16:59:33,646 ] StartDownload:  QUrl("https://static.tibia.com/images/store/64/Product_PremiumTime90.png")
[ 2026-06-09 16:59:33,652 ] StartDownload:  QUrl("https://static.tibia.com/images/store/64/Product_PremiumTime180.png")
[ 2026-06-09 16:59:33,660 ] StartDownload:  QUrl("https://static.tibia.com/images/store/64/Product_PremiumTime360.png")
[ 2026-06-22 08:42:14,607 ] Using spritesheet cache size of 910
[ 2026-06-22 08:42:14,686 ] Sound engine initialized with default sound device "Headphones (High Definition Audio Device)"
[ 2026-06-22 08:42:14,701 ] Switch used audio device to "Headphones (High Definition Audio Device)"
[ 2026-06-22 08:42:22,007 ] Asset loading complete
[ 2026-06-22 08:42:22,259 ] StartDownload:  QUrl("https://static.tibia.com/hints.json")
[ 2026-06-22 08:42:23,390 ] QObject: Cannot create children for a parent that is in a different thread.
(Parent is QQmlEngine(0x237430a6240), parent's thread is QThread(0x237221d53a0), current thread is QSGRenderThread(0x2372b194680)
[ 2026-06-22 08:42:34,057 ] Using spritesheet cache size of 910
[ 2026-06-22 08:42:34,110 ] Sound engine initialized with default sound device "Headphones (High Definition Audio Device)"
[ 2026-06-22 08:42:34,119 ] Switch used audio device to "Headphones (High Definition Audio Device)"
[ 2026-06-22 08:42:35,011 ] Asset loading complete
[ 2026-06-22 08:42:35,296 ] StartDownload:  QUrl("https://static.tibia.com/hints.json")
[ 2026-06-22 08:42:35,965 ] QObject: Cannot create children for a parent that is in a different thread.
(Parent is QQmlEngine(0x23161327690), parent's thread is QThread(0x23139876660), current thread is QSGRenderThread(0x23148bae410)
[ 2026-06-22 09:46:08,815 ] Using spritesheet cache size of 910
[ 2026-06-22 09:46:08,886 ] Sound engine initialized with default sound device "Headphones (High Definition Audio Device)"
[ 2026-06-22 09:46:08,893 ] Switch used audio device to "Headphones (High Definition Audio Device)"
[ 2026-06-22 09:46:10,348 ] Asset loading complete
[ 2026-06-22 09:46:10,406 ] StartDownload:  QUrl("https://static.tibia.com/hints.json")
[ 2026-06-22 09:46:11,050 ] QObject: Cannot create children for a parent that is in a different thread.
(Parent is QQmlEngine(0x27199196fe0), parent's thread is QThread(0x27191327b10), current thread is QSGRenderThread(0x2719953a9c0)
[ 2026-06-22 09:46:29,535 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "Rullys" )
[ 2026-06-22 09:46:29,538 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Crystal"
[ 2026-06-22 09:46:29,552 ] Connected to gameserver  "tcp://127.0.0.1:7172" "Crystal"
[ 2026-06-22 09:46:29,724 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1342204818 found"
[ 2026-06-22 09:46:29,724 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1342216924 found"
[ 2026-06-22 09:46:29,724 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1342216925 found"
[ 2026-06-22 09:46:29,725 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1342216926 found"
[ 2026-06-22 09:46:29,725 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1342194019 found"
[ 2026-06-22 09:46:29,725 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1342204819 found"
[ 2026-06-22 09:46:29,725 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1342216969 found"
[ 2026-06-22 09:46:29,725 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1342216970 found"
[ 2026-06-22 09:46:29,725 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1342216971 found"
[ 2026-06-22 09:46:29,725 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1342216968 found"
[ 2026-06-22 09:46:29,725 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1342216972 found"
[ 2026-06-22 09:46:29,725 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1342216973 found"
[ 2026-06-22 09:48:08,865 ] Using spritesheet cache size of 910
[ 2026-06-22 09:48:08,907 ] Sound engine initialized with default sound device "Headphones (High Definition Audio Device)"
[ 2026-06-22 09:48:08,915 ] Switch used audio device to "Headphones (High Definition Audio Device)"
[ 2026-06-22 09:48:09,757 ] Asset loading complete
[ 2026-06-22 09:48:09,816 ] StartDownload:  QUrl("https://static.tibia.com/hints.json")
[ 2026-06-22 09:48:10,388 ] QObject: Cannot create children for a parent that is in a different thread.
(Parent is QQmlEngine(0x191e8e3fe30), parent's thread is QThread(0x191c8063bc0), current thread is QSGRenderThread(0x191cffd6090)
[ 2026-06-22 09:49:02,916 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "Rullys" )
[ 2026-06-22 09:49:02,920 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Crystal"
[ 2026-06-22 09:49:07,020 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Crystal"  was disconnected ( "Connection refused" )
[ 2026-06-22 09:49:08,020 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Crystal"
[ 2026-06-22 09:49:12,115 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Crystal"  was disconnected ( "Connection refused" )
[ 2026-06-22 09:49:12,122 ] Disconnected from gameserver
[ 2026-06-22 09:49:13,340 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "Rullys" )
[ 2026-06-22 09:49:13,342 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Crystal"
[ 2026-06-22 09:49:14,362 ] Connected to gameserver  "tcp://127.0.0.1:7172" "Crystal"
[ 2026-06-22 09:49:14,506 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1342204818 found"
[ 2026-06-22 09:49:14,506 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1342216924 found"
[ 2026-06-22 09:49:14,506 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1342216925 found"
[ 2026-06-22 09:49:14,506 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1342216926 found"
[ 2026-06-22 09:49:14,506 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1342194019 found"
[ 2026-06-22 09:49:14,506 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1342204819 found"
[ 2026-06-22 09:49:14,506 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1342216969 found"
[ 2026-06-22 09:49:14,506 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1342216970 found"
[ 2026-06-22 09:49:14,507 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1342216971 found"
[ 2026-06-22 09:49:14,507 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1342216968 found"
[ 2026-06-22 09:49:14,507 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1342216972 found"
[ 2026-06-22 09:49:14,507 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1342216973 found"
[ 2026-06-22 09:50:04,916 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Crystal"  was disconnected ( "The remote host closed the connection" )
[ 2026-06-22 09:50:04,959 ] Disconnected from gameserver
[ 2026-06-22 09:50:06,716 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "Tryller" )
[ 2026-06-22 09:50:06,718 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Crystal"
[ 2026-06-22 09:50:06,732 ] Connected to gameserver  "tcp://127.0.0.1:7172" "Crystal"
[ 2026-06-22 09:50:06,845 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1342216962 found"
[ 2026-06-22 09:50:06,845 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1342204871 found"
[ 2026-06-22 09:50:06,845 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1342204872 found"
[ 2026-06-22 09:50:06,845 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1342204873 found"
[ 2026-06-22 09:50:06,845 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1342204874 found"
[ 2026-06-22 09:50:06,845 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1342204929 found"
[ 2026-06-22 09:50:06,845 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1342204930 found"
[ 2026-06-22 09:50:06,846 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1342204974 found"
[ 2026-06-22 09:50:06,846 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1342204975 found"
[ 2026-06-22 09:50:06,846 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1342204976 found"
[ 2026-06-22 09:50:06,847 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1342204984 found"
[ 2026-06-22 09:50:06,847 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1342217023 found"
[ 2026-06-22 09:50:06,847 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1342217024 found"
[ 2026-06-22 09:50:06,847 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1342204977 found"
[ 2026-06-22 09:50:06,847 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1342204978 found"
[ 2026-06-22 09:55:34,086 ] Using spritesheet cache size of 910
[ 2026-06-22 09:55:34,129 ] Sound engine initialized with default sound device "Headphones (High Definition Audio Device)"
[ 2026-06-22 09:55:34,138 ] Switch used audio device to "Headphones (High Definition Audio Device)"
[ 2026-06-22 09:55:34,901 ] Asset loading complete
[ 2026-06-22 09:55:34,906 ] StartDownload:  QUrl("https://static.tibia.com/hints.json")
[ 2026-06-22 09:55:35,577 ] QObject: Cannot create children for a parent that is in a different thread.
(Parent is QQmlEngine(0x224294ee250), parent's thread is QThread(0x224019ea690), current thread is QSGRenderThread(0x22409745050)
[ 2026-06-22 09:55:41,165 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "Rullys" )
[ 2026-06-22 09:55:41,169 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Crystal"
[ 2026-06-22 09:55:41,184 ] Connected to gameserver  "tcp://127.0.0.1:7172" "Crystal"
[ 2026-06-22 09:55:41,379 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1342204818 found"
[ 2026-06-22 09:55:41,379 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1342216924 found"
[ 2026-06-22 09:55:41,379 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1342216925 found"
[ 2026-06-22 09:55:41,379 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1342216926 found"
[ 2026-06-22 09:55:41,379 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1342194019 found"
[ 2026-06-22 09:55:41,379 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1342204819 found"
[ 2026-06-22 09:55:41,380 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1342216969 found"
[ 2026-06-22 09:55:41,380 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1342216971 found"
[ 2026-06-22 09:55:41,380 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1342216970 found"
[ 2026-06-22 09:55:41,380 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1342216973 found"
[ 2026-06-22 09:55:41,380 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1342216972 found"
[ 2026-06-22 09:55:41,380 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1342216968 found"
[ 2026-06-22 10:21:21,836 ] Using spritesheet cache size of 910
[ 2026-06-22 10:21:21,898 ] Sound engine initialized with default sound device "Headphones (High Definition Audio Device)"
[ 2026-06-22 10:21:21,907 ] Switch used audio device to "Headphones (High Definition Audio Device)"
[ 2026-06-22 10:21:30,085 ] Asset loading complete
[ 2026-06-22 10:21:30,192 ] StartDownload:  QUrl("https://static.tibia.com/hints.json")
[ 2026-06-22 10:21:31,430 ] QObject: Cannot create children for a parent that is in a different thread.
(Parent is QQmlEngine(0x25662094ab0), parent's thread is QThread(0x256410c24c0), current thread is QSGRenderThread(0x25661f23f70)
[ 2026-06-22 10:21:38,632 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "Rullys" )
[ 2026-06-22 10:21:38,638 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Crystal"
[ 2026-06-22 10:21:38,656 ] Connected to gameserver  "tcp://127.0.0.1:7172" "Crystal"
[ 2026-06-22 11:06:27,839 ] Using spritesheet cache size of 910
[ 2026-06-22 11:06:27,889 ] Sound engine initialized with default sound device "Headphones (High Definition Audio Device)"
[ 2026-06-22 11:06:27,897 ] Switch used audio device to "Headphones (High Definition Audio Device)"
[ 2026-06-22 11:06:34,482 ] Asset loading complete
[ 2026-06-22 11:06:34,665 ] StartDownload:  QUrl("https://static.tibia.com/hints.json")
[ 2026-06-22 11:06:35,582 ] QObject: Cannot create children for a parent that is in a different thread.
(Parent is QQmlEngine(0x23dfe9c7a40), parent's thread is QThread(0x23de593b800), current thread is QSGRenderThread(0x23df6a6f430)
[ 2026-06-22 11:19:07,217 ] Using spritesheet cache size of 910
[ 2026-06-22 11:19:07,265 ] Sound engine initialized with default sound device "Headphones (High Definition Audio Device)"
[ 2026-06-22 11:19:07,274 ] Switch used audio device to "Headphones (High Definition Audio Device)"
[ 2026-06-22 11:19:08,258 ] StartDownload:  QUrl("https://static.tibia.com/hints.json")
[ 2026-06-22 11:19:08,976 ] Asset loading complete
[ 2026-06-22 11:19:09,057 ] QObject: Cannot create children for a parent that is in a different thread.
(Parent is QQmlEngine(0x17caf643bf0), parent's thread is QThread(0x17ca75aea20), current thread is QSGRenderThread(0x17cb03025c0)
[ 2026-06-22 11:21:25,730 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "Rullys" )
[ 2026-06-22 11:21:25,735 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Crystal"
[ 2026-06-22 11:21:25,749 ] Connected to gameserver  "tcp://127.0.0.1:7172" "Crystal"
[ 2026-06-22 13:48:32,530 ] Using spritesheet cache size of 910
[ 2026-06-22 13:48:32,577 ] Sound engine initialized with default sound device "Headphones (High Definition Audio Device)"
[ 2026-06-22 13:48:32,586 ] Switch used audio device to "Headphones (High Definition Audio Device)"
[ 2026-06-22 13:48:39,554 ] Asset loading complete
[ 2026-06-22 13:48:39,810 ] StartDownload:  QUrl("https://static.tibia.com/hints.json")
[ 2026-06-22 13:48:41,078 ] QObject: Cannot create children for a parent that is in a different thread.
(Parent is QQmlEngine(0x1a9731cdff0), parent's thread is QThread(0x1a94b617e50), current thread is QSGRenderThread(0x1a95b6c88e0)
[ 2026-06-22 13:48:45,581 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "Rullys" )
[ 2026-06-22 13:48:45,583 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Crystal"
[ 2026-06-22 13:48:45,604 ] Connected to gameserver  "tcp://127.0.0.1:7172" "Crystal"
[ 2026-06-22 13:51:22,995 ] Using spritesheet cache size of 910
[ 2026-06-22 13:51:23,045 ] Sound engine initialized with default sound device "Headphones (High Definition Audio Device)"
[ 2026-06-22 13:51:23,055 ] Switch used audio device to "Headphones (High Definition Audio Device)"
[ 2026-06-22 13:51:23,960 ] Asset loading complete
[ 2026-06-22 13:51:24,008 ] StartDownload:  QUrl("https://static.tibia.com/hints.json")
[ 2026-06-22 13:51:24,759 ] QObject: Cannot create children for a parent that is in a different thread.
(Parent is QQmlEngine(0x21ae9fb9090), parent's thread is QThread(0x21ac85871c0), current thread is QSGRenderThread(0x21ad6842730)
[ 2026-06-22 13:51:31,606 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "Rullys" )
[ 2026-06-22 13:51:31,610 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Crystal"
[ 2026-06-22 13:51:31,627 ] Connected to gameserver  "tcp://127.0.0.1:7172" "Crystal"
[ 2026-06-22 13:51:31,717 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Crystal"  was disconnected ( "The remote host closed the connection" )
[ 2026-06-22 13:51:31,729 ] Disconnected from gameserver
[ 2026-06-22 14:02:30,809 ] Using spritesheet cache size of 910
[ 2026-06-22 14:02:30,856 ] Sound engine initialized with default sound device "Headphones (High Definition Audio Device)"
[ 2026-06-22 14:02:30,866 ] Switch used audio device to "Headphones (High Definition Audio Device)"
[ 2026-06-22 14:02:31,859 ] Asset loading complete
[ 2026-06-22 14:02:31,950 ] StartDownload:  QUrl("https://static.tibia.com/hints.json")
[ 2026-06-22 14:02:32,642 ] QObject: Cannot create children for a parent that is in a different thread.
(Parent is QQmlEngine(0x21646443750), parent's thread is QThread(0x2161e94e5c0), current thread is QSGRenderThread(0x21627322230)
[ 2026-06-22 14:02:41,187 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "Rullys" )
[ 2026-06-22 14:02:41,192 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Crystal"
[ 2026-06-22 14:02:41,207 ] Connected to gameserver  "tcp://127.0.0.1:7172" "Crystal"
[ 2026-06-22 14:05:00,263 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Crystal"  was disconnected ( "The remote host closed the connection" )
[ 2026-06-22 14:05:00,323 ] Disconnected from gameserver
[ 2026-06-22 14:06:15,934 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "Rullys" )
[ 2026-06-22 14:06:15,938 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Crystal"
